number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
29,2.071869472620294,2025-06-21 14:08:36.885691,2025-06-21 14:08:39.360134,0 days 00:00:02.474443,0.9022955520682039,0.08006239656243941,9,22,198,27,0.17980959938378802,0.3974463748678908,0.7448115504496597,COMPLETE
30,2.0569613399270836,2025-06-21 14:08:39.360134,2025-06-21 14:08:41.535776,0 days 00:00:02.175642,0.7957537561297594,0.09312070260084898,10,29,173,34,0.2823124636368068,0.30064928087583553,0.7795879686198883,COMPLETE
31,2.049994585423961,2025-06-21 14:08:41.535776,2025-06-21 14:08:43.750670,0 days 00:00:02.214894,0.7793108884559755,0.0893253700867849,10,24,175,36,0.2888746584606771,0.292176352514271,0.8703404290967832,COMPLETE
32,2.0638559000830234,2025-06-21 14:08:43.750670,2025-06-21 14:08:46.022170,0 days 00:00:02.271500,0.7825430832294433,0.08368406943399295,10,28,173,35,0.28774388756510055,0.2769360698973681,0.8600237702168773,COMPLETE
33,2.047359491751796,2025-06-21 14:08:46.024173,2025-06-21 14:08:48.187727,0 days 00:00:02.163554,0.752088150635559,0.09405874567567468,10,29,168,37,0.2916711790821622,0.23831144847105395,0.7853722970858446,COMPLETE
34,2.0620149442298668,2025-06-21 14:08:48.187727,2025-06-21 14:08:50.373545,0 days 00:00:02.185818,0.7468552353371272,0.08287896895178343,10,31,165,37,0.29303090010740873,0.2254634000134862,0.7887323977922861,COMPLETE
35,2.0545428292964663,2025-06-21 14:08:50.373545,2025-06-21 14:08:52.437373,0 days 00:00:02.063828,0.6964476259591574,0.09467266519289158,10,29,176,34,0.4148415159567192,0.2424014220196034,0.8446634308335325,COMPLETE
36,2.071688986752337,2025-06-21 14:08:52.447389,2025-06-21 14:08:54.592889,0 days 00:00:02.145500,0.6818903482820052,0.0749181352201359,10,29,177,34,0.45350501962255363,0.11646475945305844,0.8508793073476265,COMPLETE
37,2.0528462621376744,2025-06-21 14:08:54.592889,2025-06-21 14:08:56.816451,0 days 00:00:02.223562,0.821100994682477,0.09501803298044088,9,31,160,38,0.48796928813862045,0.24314991648245665,0.7798596377422213,COMPLETE
38,2.062123235750641,2025-06-21 14:08:56.816451,2025-06-21 14:08:59.053571,0 days 00:00:02.237120,0.8232360911765647,0.08369352142362,9,32,159,38,0.4787536815107618,0.24264654274891168,0.8923740267192534,COMPLETE
39,2.0750821210699204,2025-06-21 14:08:59.053571,2025-06-21 14:09:00.986481,0 days 00:00:01.932910,0.7669155594447971,0.0875905163842267,8,31,137,40,0.4311564363236159,0.20605830711636103,0.8160586759128229,COMPLETE
40,2.058874490127423,2025-06-21 14:09:00.996955,2025-06-21 14:09:02.779143,0 days 00:00:01.782188,0.6990580196536634,0.09607041828628803,9,29,126,43,0.39376974353326255,0.1390837614562626,0.840280032287223,COMPLETE
41,2.0496336136880484,2025-06-21 14:09:02.779143,2025-06-21 14:09:05.033412,0 days 00:00:02.254269,0.8097157894669853,0.09626634974866956,10,29,175,34,0.49092637006033973,0.2588212153721809,0.7752536928568161,COMPLETE
42,2.053604302783092,2025-06-21 14:09:05.038248,2025-06-21 14:09:07.168769,0 days 00:00:02.130521,0.8201088553127982,0.09581957217932836,10,31,159,36,0.49218517584631855,0.2469862860768853,0.768005361223803,COMPLETE
43,2.0618344583619104,2025-06-21 14:09:07.168769,2025-06-21 14:09:09.392207,0 days 00:00:02.223438,0.8167665120214316,0.08758689763400827,10,32,161,37,0.4953042112481845,0.19855796489475774,0.7662141042961512,COMPLETE
44,2.237627693751579,2025-06-21 14:09:09.392207,2025-06-21 14:09:10.692770,0 days 00:00:01.300563,0.8546668388358819,0.07926185191107087,3,31,148,39,0.45470037865856083,0.2560948381909596,0.8105506738693887,COMPLETE
45,2.0578637692668664,2025-06-21 14:09:10.693769,2025-06-21 14:09:12.735326,0 days 00:00:02.041557,0.7503419157204748,0.09668382075485366,10,35,155,36,0.4996949020729006,0.0681093764218142,0.7654840291414821,COMPLETE
46,2.0959823845792873,2025-06-21 14:09:12.735326,2025-06-21 14:09:14.729883,0 days 00:00:01.994557,0.8078570954557889,0.08761677635434328,5,30,183,45,0.3853707608118149,0.26581146442573444,0.7961411837480314,COMPLETE
47,2.0555174529834312,2025-06-21 14:09:14.729883,2025-06-21 14:09:16.667880,0 days 00:00:01.937997,0.7852734729481466,0.09988726413476905,8,26,142,39,0.4398550077239787,0.21854513974691847,0.9410892098650333,COMPLETE
48,2.179005883839295,2025-06-21 14:09:16.667880,2025-06-21 14:09:18.852304,0 days 00:00:02.184424,0.8719594175995544,0.03877543314483912,9,38,154,31,0.33457865626756317,0.17220889600144462,0.7400271371040366,COMPLETE
49,2.057574991878136,2025-06-21 14:09:18.852304,2025-06-21 14:09:20.881108,0 days 00:00:02.028804,0.8408578945562194,0.09588229671262899,10,34,127,42,0.47712957912723436,0.3676225445193438,0.8265151189590058,COMPLETE
50,2.1275313142980905,2025-06-21 14:09:20.881108,2025-06-21 14:09:22.991499,0 days 00:00:02.110391,0.7309620032624428,0.05078349714810159,8,33,164,36,0.47409011559079084,0.2462616512066013,0.8706541291253129,COMPLETE
51,2.0540013716925967,2025-06-21 14:09:22.993735,2025-06-21 14:09:25.171009,0 days 00:00:02.177274,0.7722320052449854,0.09031061272547136,10,30,172,35,0.4137832231311436,0.2410138346794474,0.9000696494832245,COMPLETE
52,2.1127675702992454,2025-06-21 14:09:25.171009,2025-06-21 14:09:26.755809,0 days 00:00:01.584800,0.7689953623376334,0.08914550769912626,10,30,101,35,0.42854971364959815,0.2637009991669111,0.9147369679345511,COMPLETE
53,2.063097859437606,2025-06-21 14:09:26.755809,2025-06-21 14:09:29.034367,0 days 00:00:02.278558,0.8036420061989726,0.09142500940346673,10,30,170,33,0.32078089902647833,0.32791462658895465,0.8877193976920448,COMPLETE
54,2.036241562285673,2025-06-21 14:09:29.036372,2025-06-21 14:09:31.275649,0 days 00:00:02.239277,0.7759832731728205,0.09670899420753619,10,28,180,38,0.36365955213269296,0.20996491319400873,0.7790584631950067,COMPLETE
55,2.0299606540807855,2025-06-21 14:09:31.285716,2025-06-21 14:09:33.546345,0 days 00:00:02.260629,0.7460937935284769,0.09698613681311431,9,28,184,40,0.37091113355105354,0.18638336945701517,0.7807243683434164,COMPLETE
56,2.0235353571815327,2025-06-21 14:09:33.546345,2025-06-21 14:09:35.832231,0 days 00:00:02.285886,0.7497670743676064,0.09952078229081789,9,26,186,41,0.35791397555323445,0.1853610566023433,0.7841319728645251,COMPLETE
57,2.0252680215139156,2025-06-21 14:09:35.832231,2025-06-21 14:09:38.129074,0 days 00:00:02.296843,0.7404564857019797,0.09956984064078507,9,26,185,41,0.3655449481904379,0.1512447422107799,0.8069324453523743,COMPLETE
58,2.012164747500271,2025-06-21 14:09:38.129074,2025-06-21 14:09:40.438838,0 days 00:00:02.309764,0.7442492666937036,0.09992951152486029,8,26,185,47,0.35660375312322723,0.10338805611608654,0.8021104485973589,COMPLETE
59,2.0075804064541747,2025-06-21 14:09:40.440841,2025-06-21 14:09:42.832094,0 days 00:00:02.391253,0.7354540476371049,0.09913024862021522,8,26,186,50,0.35733485739211185,0.08931319756738862,0.8071179472427743,COMPLETE
60,2.0036819117063134,2025-06-21 14:09:42.832094,2025-06-21 14:09:45.315333,0 days 00:00:02.483239,0.7331973191995514,0.09991107509929299,8,26,202,50,0.352574283741688,0.0025112377393526897,0.8054135608060479,COMPLETE
61,2.0010107208605565,2025-06-21 14:09:45.325599,2025-06-21 14:09:47.800843,0 days 00:00:02.475244,0.7326252904837126,0.09996895789132583,8,26,201,50,0.35422494554574224,0.010940346451628346,0.8068186152452519,COMPLETE
62,2.0111179294661228,2025-06-21 14:09:47.802854,2025-06-21 14:09:50.137457,0 days 00:00:02.334603,0.7321078746617905,0.09906289937496675,8,26,184,50,0.3534883535217492,0.00263204832692698,0.8046403570828115,COMPLETE
63,2.0067140742879834,2025-06-21 14:09:50.144252,2025-06-21 14:09:52.590285,0 days 00:00:02.446033,0.7205664516859852,0.0994930315561994,8,26,202,50,0.34367849954317814,0.006373817079496223,0.8086445339316009,COMPLETE
64,2.0080496697108616,2025-06-21 14:09:52.592290,2025-06-21 14:09:54.895585,0 days 00:00:02.303295,0.7138029289408938,0.09884494691569477,7,26,202,50,0.3451145101464241,0.006143408756000384,0.8300530877335813,COMPLETE
65,2.1391546041944918,2025-06-21 14:09:54.895585,2025-06-21 14:09:57.508088,0 days 00:00:02.612503,0.7128855404323989,0.03133715131591004,7,25,203,50,0.34211895822287264,0.005186385701090137,0.8284284058091044,COMPLETE
66,2.0133920514023753,2025-06-21 14:09:57.508088,2025-06-21 14:10:00.025064,0 days 00:00:02.516976,0.6595363825528333,0.0930292832512954,8,24,202,48,0.3126295267677402,0.04522678501425387,0.8234937628552852,COMPLETE
67,1.9963902826408693,2025-06-21 14:10:00.025064,2025-06-21 14:10:02.719075,0 days 00:00:02.694011,0.7166528753547177,0.09982416450039361,7,26,215,48,0.3887899811662602,0.002952402733542983,0.8014494244105566,COMPLETE
68,2.022524636320976,2025-06-21 14:10:02.719075,2025-06-21 14:10:05.113604,0 days 00:00:02.394529,0.7182925736285211,0.08651904853619888,6,27,218,50,0.38804062122880156,0.0032120312691024397,0.8414144570533207,COMPLETE
69,2.0042955636573656,2025-06-21 14:10:05.113604,2025-06-21 14:10:07.533914,0 days 00:00:02.420310,0.662884263315612,0.09191627927158014,7,25,225,48,0.3398768726308529,0.027834765064166093,0.7524001666135182,COMPLETE
