number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.4546037800350571,2025-06-21 21:28:03.135100,2025-06-21 21:28:06.932676,0 days 00:00:03.797576,0.9105091477616004,0.04058280206307003,13,47,600,204,0.49119888983727555,0.4438377145561901,0.9666381914357531,COMPLETE
28,0.39549270528407465,2025-06-21 21:28:06.933678,2025-06-21 21:28:12.014538,0 days 00:00:05.080860,0.8504029189072239,0.06935236934130536,9,40,998,232,0.10472752353740264,0.18059180162694266,0.9103627794998757,COMPLETE
29,0.6220221821263676,2025-06-21 21:28:12.014538,2025-06-21 21:28:13.485193,0 days 00:00:01.470655,0.6500676919952478,0.020451011859979922,3,46,933,114,0.21406851777544061,0.8039297749227752,0.5575454299482386,COMPLETE
30,0.5367240758343468,2025-06-21 21:28:13.487189,2025-06-21 21:28:14.197833,0 days 00:00:00.710644,0.9526667399678608,0.16186668631457374,7,29,171,65,0.31309848578214877,0.6755436951778346,0.5019336827610845,COMPLETE
31,0.3186190328199572,2025-06-21 21:28:14.198835,2025-06-21 21:28:18.732590,0 days 00:00:04.533755,0.9506821306250522,0.1499357105216368,11,47,853,183,0.9101704647317017,0.28302882011429226,0.90248540187589,COMPLETE
32,0.2991294730863807,2025-06-21 21:28:18.733590,2025-06-21 21:28:23.088136,0 days 00:00:04.354546,0.9975797161412816,0.19963592116611723,11,40,928,159,0.12521376506330711,0.5784403262722868,0.9665884997760822,COMPLETE
33,0.4002967597256747,2025-06-21 21:28:23.089135,2025-06-21 21:28:26.409599,0 days 00:00:03.320464,0.7869123229489585,0.09645030813614065,10,38,948,105,0.00021067285108811173,0.5906837684204576,0.9634390559367403,COMPLETE
34,0.36629608097820265,2025-06-21 21:28:26.410599,2025-06-21 21:28:29.714267,0 days 00:00:03.303668,0.8771273670963629,0.11871788431783027,13,41,809,134,0.08505640464438564,0.9317730707882196,0.9948780756489398,COMPLETE
35,0.31296034146389484,2025-06-21 21:28:29.715341,2025-06-21 21:28:33.822327,0 days 00:00:04.106986,0.812945962812009,0.16306501244540433,12,37,933,157,0.6072004987105942,0.8282713013229089,0.8619847752676945,COMPLETE
36,0.40390927018074874,2025-06-21 21:28:33.822327,2025-06-21 21:28:35.911789,0 days 00:00:02.089462,0.7514550958645139,0.1201387381570127,14,33,440,166,0.05385760436207554,0.7193507404103947,0.9618744007299709,COMPLETE
37,0.2830009157812361,2025-06-21 21:28:35.912788,2025-06-21 21:28:41.363680,0 days 00:00:05.450892,0.9667708314628507,0.198093815501487,16,45,1000,198,0.12303232784343043,0.5857140324078693,0.7510775636368076,COMPLETE
38,0.29232948023878236,2025-06-21 21:28:41.364679,2025-06-21 21:28:45.485155,0 days 00:00:04.120476,0.97263886002504,0.1996445933390009,16,40,747,201,0.11859112237998828,0.548590040014582,0.693341630807748,COMPLETE
