number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
41,0.22085712891679954,2025-06-21 20:51:17.465880,2025-06-21 20:51:50.814497,0 days 00:00:33.348617,0.6208587300619505,0.16564724873234396,15,12,939,207,0.41876898334614054,0.16874805105898671,0.8681225037271052,COMPLETE
42,0.22102999404801837,2025-06-21 20:51:50.814497,2025-06-21 20:52:23.769615,0 days 00:00:32.955118,0.6026485495075067,0.1570953181384266,15,10,940,203,0.42896380390225536,0.018790483628163823,0.8220747864450477,COMPLETE
43,0.22324990945934808,2025-06-21 20:52:23.770615,2025-06-21 20:52:54.009288,0 days 00:00:30.238673,0.5015974616738378,0.11551167068357746,15,13,948,223,0.5249583445272564,0.20113146227536494,0.8677786884312235,COMPLETE
44,0.2237874009476033,2025-06-21 20:52:54.009288,2025-06-21 20:53:21.379800,0 days 00:00:27.370512,0.5732363533912621,0.16628758100073132,15,8,815,202,0.31736836419074355,0.11007867254793924,0.8725614237089713,COMPLETE
45,0.23602216130247633,2025-06-21 20:53:21.380799,2025-06-21 20:53:56.544006,0 days 00:00:35.163207,0.6090602183958738,0.06854754679436428,14,20,926,237,0.5778636671187499,0.2818433782191235,0.9670705043308976,COMPLETE
46,0.22384749704489226,2025-06-21 20:53:56.545005,2025-06-21 20:54:26.417655,0 days 00:00:29.872650,0.6277117644934121,0.1402408876105661,16,11,996,164,0.45318732741060136,0.06112316493666511,0.9386939251871522,COMPLETE
47,0.2307121920312427,2025-06-21 20:54:26.418644,2025-06-21 20:54:57.875694,0 days 00:00:31.457050,0.6446564259310275,0.10991279346232728,13,15,865,187,0.26269880316167543,0.14733812932832696,0.865350255475259,COMPLETE
48,0.26734104035209005,2025-06-21 20:54:57.876681,2025-06-21 20:55:28.186339,0 days 00:00:30.309658,0.5759473338946155,0.05372698446772108,15,18,765,216,0.38087516595653165,0.007088101485670045,0.7693123707715861,COMPLETE
49,0.22510802877165692,2025-06-21 20:55:28.187346,2025-06-21 20:55:57.244669,0 days 00:00:29.057323,0.548230840008371,0.16596746488154687,14,3,720,209,0.6285066335105212,0.45695465915333544,0.8315601703400464,COMPLETE
50,0.23036322316150537,2025-06-21 20:55:57.245669,2025-06-21 20:56:24.969085,0 days 00:00:27.723416,0.6233622565277208,0.12908136569907733,12,8,962,153,0.4905907422293294,0.3565246412816113,0.9795350632651052,COMPLETE
51,0.2230294627390058,2025-06-21 20:56:24.969085,2025-06-21 20:56:56.657199,0 days 00:00:31.688114,0.588777395055545,0.16687336823020488,15,10,938,203,0.3771173562669941,0.023367866097063497,0.8166137634333106,COMPLETE
52,0.21879198185404436,2025-06-21 20:56:56.657199,2025-06-21 20:57:39.085631,0 days 00:00:42.428432,0.6552361696465168,0.14539906575728698,16,14,999,232,0.42775438391931137,0.05623737643601566,0.8245527847396237,COMPLETE
53,0.3868658701776889,2025-06-21 20:57:39.086632,2025-06-21 20:58:32.830418,0 days 00:00:53.743786,0.7064783721190657,0.011085325035448875,16,13,886,236,0.25101592293699376,0.07720108476676377,0.9011009162590895,COMPLETE
54,0.21648553441157503,2025-06-21 20:58:32.830418,2025-06-21 20:59:12.611973,0 days 00:00:39.781555,0.6483450811899754,0.14123556725870406,16,15,993,229,0.4525832495956452,0.1198296459000264,0.8576862603761719,COMPLETE
55,0.2206621731281021,2025-06-21 20:59:12.611973,2025-06-21 20:59:53.125450,0 days 00:00:40.513477,0.6516759485755607,0.10103643933703987,16,21,966,230,0.47368431548968926,0.2920722498570839,0.8549888444528705,COMPLETE
56,0.22035332528257334,2025-06-21 20:59:53.125450,2025-06-21 21:00:39.213118,0 days 00:00:46.087668,0.675716215081033,0.0874678162121951,14,27,994,245,0.5461179330029333,0.11268325976275476,0.8002419769670331,COMPLETE
57,0.5565021870261472,2025-06-21 21:00:39.214092,2025-06-21 21:01:12.119292,0 days 00:00:32.905200,0.7154110553177334,0.005566629870631314,16,15,518,220,0.7886888448862484,0.04836875784900984,0.7773597707557425,COMPLETE
58,0.46573221207093174,2025-06-21 21:01:12.119292,2025-06-21 21:01:17.787186,0 days 00:00:05.667894,0.6926701906777385,0.13996427345486562,3,6,893,80,0.3297839678146812,0.23001281138462693,0.5783604234427189,COMPLETE
59,0.2214256627328418,2025-06-21 21:01:17.788338,2025-06-21 21:02:00.337822,0 days 00:00:42.549484,0.9195205660764944,0.11486884129784504,11,17,910,195,0.9486254143802535,0.15982466373872672,0.8868497573001015,COMPLETE
60,0.22092390012861784,2025-06-21 21:02:00.339337,2025-06-21 21:02:42.485598,0 days 00:00:42.146261,0.7323854481761631,0.18381579108065382,13,25,969,231,0.907326136291132,0.7231553152634531,0.9439822156309728,COMPLETE
61,0.21859440296101929,2025-06-21 21:02:42.486598,2025-06-21 21:03:23.659325,0 days 00:00:41.172727,0.6654530989837081,0.1426943499258229,14,27,995,244,0.5441600108197701,0.11528296667352925,0.8021356861498792,COMPLETE
62,0.2177480086032042,2025-06-21 21:03:23.660325,2025-06-21 21:04:02.914485,0 days 00:00:39.254160,0.6554456889358034,0.12367111072472606,14,23,997,244,0.5229529222239,0.10527657011513591,0.8264100272674464,COMPLETE
63,0.2178839401712218,2025-06-21 21:04:02.914485,2025-06-21 21:04:41.859707,0 days 00:00:38.945222,0.653623135365444,0.12083820299829469,14,22,966,246,0.5856808770330224,0.11500189250545925,0.78966460853882,COMPLETE
64,0.21567521010618063,2025-06-21 21:04:41.860707,2025-06-21 21:05:20.013635,0 days 00:00:38.152928,0.648569933499441,0.1228723185319971,14,30,998,246,0.5766329512374306,0.10849132083465306,0.794109306964078,COMPLETE
65,0.2284392166909064,2025-06-21 21:05:20.013635,2025-06-21 21:05:58.949968,0 days 00:00:38.936333,0.6780863178356116,0.07469478503936594,14,29,913,246,0.5945664391860745,0.11055699377275362,0.7938903523912999,COMPLETE
66,0.21934026408348184,2025-06-21 21:05:58.950968,2025-06-21 21:06:33.381833,0 days 00:00:34.430865,0.6326961399402982,0.12171281543552082,13,23,869,243,0.6471432703283906,0.24848869803439752,0.7316351429987134,COMPLETE
67,0.22155399919826835,2025-06-21 21:06:33.382833,2025-06-21 21:07:12.398414,0 days 00:00:39.015581,0.5883566166575219,0.08819778085326203,14,29,965,252,0.5224704134620632,0.19462124959931648,0.8070008117704344,COMPLETE
68,0.22400059131485217,2025-06-21 21:07:12.399452,2025-06-21 21:07:47.718739,0 days 00:00:35.319287,0.660503474786424,0.1011662632948823,15,26,837,240,0.5614785985104573,0.13928709459169497,0.7834540229610818,COMPLETE
69,0.2568700034629141,2025-06-21 21:07:47.719738,2025-06-21 21:08:18.660288,0 days 00:00:30.940550,0.6395473484158314,0.0627196477128177,14,23,653,256,0.6798269686572694,0.09938361555903533,0.753957069569574,COMPLETE
70,0.263744469336444,2025-06-21 21:08:18.661287,2025-06-21 21:08:36.989525,0 days 00:00:18.328238,0.6114431903160368,0.10702199052916156,13,30,440,225,0.6146045412917492,0.1844099448457187,0.8297981603244773,COMPLETE
71,0.21762964658638906,2025-06-21 21:08:36.989525,2025-06-21 21:09:16.427197,0 days 00:00:39.437672,0.6558014843408901,0.1440058713607095,16,34,999,232,0.5120655949178505,0.04800033163148016,0.8184513048477757,COMPLETE
72,0.3586297807994303,2025-06-21 21:09:16.427197,2025-06-21 21:09:23.690117,0 days 00:00:07.262920,0.6903814166910475,0.12662226791260547,15,31,106,248,0.5352081638960071,0.13310490486842633,0.7994828606995771,COMPLETE
73,0.21835662124134458,2025-06-21 21:09:23.692167,2025-06-21 21:09:59.637171,0 days 00:00:35.945004,0.6442591411395068,0.139295394532158,16,34,967,219,0.48936770530462964,0.07404702283210007,0.7101502632214263,COMPLETE
74,0.22011381475654346,2025-06-21 21:09:59.638181,2025-06-21 21:10:36.017307,0 days 00:00:36.379126,0.5664650842068066,0.12216291616103114,16,34,919,216,0.4849208364777947,0.0399015626117067,0.7393349504293301,COMPLETE
75,0.2595191409059683,2025-06-21 21:10:36.017307,2025-06-21 21:11:16.182499,0 days 00:00:40.165192,0.6178466216611944,0.04433857038550524,16,34,964,233,0.4559635392664318,0.07702556688229892,0.7172110003921576,COMPLETE
76,0.22849784472854429,2025-06-21 21:11:16.183762,2025-06-21 21:11:53.428656,0 days 00:00:37.244894,0.6465883917626345,0.08659427452677258,15,37,946,225,0.56663061319053,0.07843997335402503,0.6907132744300015,COMPLETE
77,0.21902812395453375,2025-06-21 21:11:53.429619,2025-06-21 21:12:29.388334,0 days 00:00:35.958715,0.7069892146639079,0.14723773610900218,16,38,889,213,0.6429216743957706,0.005969597106558006,0.6794895576031628,COMPLETE
78,0.28611472509666036,2025-06-21 21:12:29.389353,2025-06-21 21:12:39.018184,0 days 00:00:09.628831,0.5990858461606453,0.1763535381386313,15,33,222,219,0.35562411953579376,0.03803085419884152,0.8568031411031669,COMPLETE
79,0.21835761856497315,2025-06-21 21:12:39.019184,2025-06-21 21:13:21.434486,0 days 00:00:42.415302,0.6349774096789959,0.09967913103724145,16,35,976,249,0.5077850011870321,0.16633062199137913,0.8429265260773237,COMPLETE
80,0.2186755516750266,2025-06-21 21:13:21.435990,2025-06-21 21:13:57.994566,0 days 00:00:36.558576,0.5420208136334087,0.11179814733502269,15,5,921,240,0.4089455920997257,0.09153371549580436,0.7729865916686184,COMPLETE
81,0.2196562601972747,2025-06-21 21:13:57.996077,2025-06-21 21:14:38.477569,0 days 00:00:40.481492,0.6349854160735254,0.09576252372961402,16,32,976,249,0.5105688137169795,0.17299397182361503,0.836534560020862,COMPLETE
82,0.21805233129046897,2025-06-21 21:14:38.477569,2025-06-21 21:15:21.339408,0 days 00:00:42.861839,0.6828907686707887,0.12550568169206786,16,34,953,256,0.5898082085533316,0.13608782727459323,0.8184240456318111,COMPLETE
83,0.21561766244531855,2025-06-21 21:15:21.339408,2025-06-21 21:15:58.963158,0 days 00:00:37.623750,0.6701441719228745,0.1347451263024113,15,38,947,228,0.5849328344734497,0.21885695832338806,0.7865183828752468,COMPLETE
84,0.21607643138612342,2025-06-21 21:15:58.965139,2025-06-21 21:16:41.614170,0 days 00:00:42.649031,0.6786890093441665,0.12843451139930628,15,20,944,256,0.5907199491242136,0.23787818763087823,0.8137484765898134,COMPLETE
85,0.22135181229664214,2025-06-21 21:16:41.615172,2025-06-21 21:17:19.119013,0 days 00:00:37.503841,0.6993419273221763,0.17634555369732477,14,18,854,237,0.608991987926695,0.2500902650597422,0.7864044154094219,COMPLETE
86,0.22060271538920384,2025-06-21 21:17:19.120013,2025-06-21 21:17:57.371485,0 days 00:00:38.251472,0.6724634111503547,0.15357438419266867,15,20,923,226,0.6690141079722256,0.38344013416841505,0.9088063691025555,COMPLETE
