number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
11,2.026278742374472,2025-06-21 01:04:05.485594,2025-06-21 01:04:08.963066,0 days 00:00:03.477472,0.880113414938876,0.09721419435332898,10,28,230,33,0.14971160010867,0.15399159162676473,0.7336245586968874,COMPLETE
12,2.0409702920261346,2025-06-21 01:04:08.963066,2025-06-21 01:04:12.466221,0 days 00:00:03.503155,0.9060463883514245,0.0978620659122782,10,28,247,28,0.11990867613756509,0.2070675978717173,0.6042214638143771,COMPLETE
13,2.1180377576435765,2025-06-21 01:04:12.466221,2025-06-21 01:04:15.302226,0 days 00:00:02.836005,0.8630278807636225,0.0495085342814256,6,20,219,31,0.07614484084704554,0.000812523525924258,0.6891952111103247,COMPLETE
14,2.0375049633613687,2025-06-21 01:04:15.302226,2025-06-21 01:04:18.561443,0 days 00:00:03.259217,0.9985805207894872,0.0816952996404936,8,24,218,39,0.17092360486420058,0.08683542428213573,0.7249669786328597,COMPLETE
15,2.1187597011154025,2025-06-21 01:04:18.561443,2025-06-21 01:04:20.832115,0 days 00:00:02.270672,0.6072281601501353,0.060732107008956725,8,24,224,20,0.06213486750923104,0.1760554274443959,0.6584255064396134,COMPLETE
16,2.0566003681911704,2025-06-21 01:04:20.832115,2025-06-21 01:04:23.595578,0 days 00:00:02.763463,0.847669185838966,0.0997752085180126,5,30,234,43,0.1915622069468446,0.06709143802874892,0.7640796798664776,COMPLETE
17,2.0736021369526765,2025-06-21 01:04:23.595578,2025-06-21 01:04:26.101774,0 days 00:00:02.506196,0.6816286806198228,0.08736347884550823,9,26,210,25,0.3869272714758318,0.2580580512217561,0.6543281057661213,COMPLETE
18,2.2022524636320977,2025-06-21 01:04:26.101774,2025-06-21 01:04:28.674950,0 days 00:00:02.573176,0.9578538556353087,0.037629178014894155,5,30,161,35,0.09747303828798773,0.4016562331569231,0.7632297639858299,COMPLETE
19,2.0681875609139806,2025-06-21 01:04:28.674950,2025-06-21 01:04:31.861204,0 days 00:00:03.186254,0.8666348160655046,0.06961196349276741,9,22,204,32,0.27642283620438357,0.0914084279076573,0.6485237688254127,COMPLETE
20,2.0347976753420207,2025-06-21 01:04:31.861204,2025-06-21 01:04:34.550410,0 days 00:00:02.689206,0.6453217804736637,0.09033589844591769,7,22,232,37,0.17354208463151152,0.16312383854564735,0.7368742069567975,COMPLETE
